File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
D:\engine\proteus\source\Box2D\Common\b2Math.h,"b2Mul(const b2Rot& q, const b2Vec2& v)",2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Common\b2Math.h,"b2MulT(const b2Rot& q, const b2Vec2& v)",2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Common\b2Math.h,"b2Mul(const b2Transform& T, const b2Vec2& v)",5,4,4,1,1,0,0,0,
D:\engine\proteus\source\Box2D\Common\b2Math.h,"b2MulT(const b2Transform& T, const b2Vec2& v)",7,6,6,1,1,0,0,0,
D:\engine\proteus\source\Box2D\Common\b2Math.h,"b2Mul(const b2Transform& A, const b2Transform& B)",5,5,5,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Common\b2Math.h,"b2MulT(const b2Transform& A, const b2Transform& B)",5,5,5,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Common\b2Math.h,b2Abs(T a),2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Common\b2Math.h,b2Abs(const b2Vec2& a),2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Common\b2Math.h,b2Abs(const b2Mat22& A),2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Common\b2Math.h,"b2Min(T a, T b)",2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Common\b2Math.h,"b2Min(const b2Vec2& a, const b2Vec2& b)",2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Common\b2Math.h,"b2Max(T a, T b)",2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Common\b2Math.h,"b2Max(const b2Vec2& a, const b2Vec2& b)",2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Common\b2Math.h,"b2Clamp(T a, T low, T high)",2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Common\b2Math.h,"b2Clamp(const b2Vec2& a, const b2Vec2& low, const b2Vec2& high)",2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Common\b2Math.h,"b2Swap(T& a, T& b)",4,4,4,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Common\b2Math.h,b2NextPowerOfTwo(uint32 x),7,7,7,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Common\b2Math.h,b2IsPowerOfTwo(uint32 x),3,3,3,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Common\b2Math.h,"b2Sweep::GetTransform(b2Transform* xf, float32 beta) const",7,5,5,0,1,0,1,3,
D:\engine\proteus\source\Box2D\Common\b2Math.h,b2Sweep::Advance(float32 alpha),6,6,6,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Common\b2Math.h,b2Sweep::Normalize(),5,5,5,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.cpp,"b2Body::b2Body(const b2BodyDef* bd, b2World* world)",80,65,51,6,15,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.cpp,b2Body::~b2Body(),2,1,1,0,0,0,1,7,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.cpp,b2Body::SetType(b2BodyType type),50,40,28,6,8,0,2,16,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.cpp,b2Body::CreateFixture(const b2FixtureDef* def),36,25,19,5,8,0,3,30,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.cpp,"b2Body::CreateFixture(const b2Shape* shape, float32 density)",6,5,5,1,1,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.cpp,b2Body::DestroyFixture(b2Fixture* fixture),64,46,34,7,12,0,6,45,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.cpp,b2Body::ResetMassData(),69,52,38,5,9,0,8,53,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.cpp,b2Body::SetMassData(const b2MassData* massData),38,29,21,4,7,0,2,9,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.cpp,b2Body::ShouldCollide(const b2Body* other) const,20,16,8,7,2,0,2,12,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.cpp,"b2Body::SetTransform(const b2Vec2& position, float32 angle)",21,17,13,2,4,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.cpp,b2Body::SynchronizeFixtures(),10,9,7,1,1,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.cpp,b2Body::SetActive(bool flag),42,32,20,5,6,0,4,17,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.cpp,b2Body::SetFixedRotation(bool flag),19,16,10,2,3,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.cpp,b2Body::Dump(),27,26,24,1,1,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2ContactManager.cpp,b2ContactManager::b2ContactManager(),6,6,6,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2ContactManager.cpp,b2ContactManager::Destroy(b2Contact* c),62,47,27,10,11,0,4,15,
D:\engine\proteus\source\Box2D\Dynamics\b2ContactManager.cpp,b2ContactManager::Collide(),64,48,36,6,8,0,8,48,
D:\engine\proteus\source\Box2D\Dynamics\b2ContactManager.cpp,b2ContactManager::FindNewContacts(),2,2,2,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2ContactManager.cpp,"b2ContactManager::AddPair(void* proxyUserDataA, void* proxyUserDataB)",118,83,59,12,20,0,15,80,
D:\engine\proteus\source\Box2D\Dynamics\b2Fixture.cpp,b2Fixture::b2Fixture(),8,8,8,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Fixture.cpp,"b2Fixture::Create(b2BlockAllocator* allocator, b2Body* body, const b2FixtureDef* def)",25,18,16,1,6,0,1,3,
D:\engine\proteus\source\Box2D\Dynamics\b2Fixture.cpp,b2Fixture::Destroy(b2BlockAllocator* allocator),50,40,29,6,7,0,3,16,
D:\engine\proteus\source\Box2D\Dynamics\b2Fixture.cpp,"b2Fixture::CreateProxies(b2BroadPhase* broadPhase, const b2Transform& xf)",14,11,9,1,2,0,1,5,
D:\engine\proteus\source\Box2D\Dynamics\b2Fixture.cpp,b2Fixture::DestroyProxies(b2BroadPhase* broadPhase),10,8,6,1,1,0,1,5,
D:\engine\proteus\source\Box2D\Dynamics\b2Fixture.cpp,"b2Fixture::Synchronize(b2BroadPhase* broadPhase, const b2Transform& transform1, const b2Transform& transform2)",21,15,11,2,5,0,1,13,
D:\engine\proteus\source\Box2D\Dynamics\b2Fixture.cpp,b2Fixture::SetFilterData(const b2Filter& filter),4,3,3,0,1,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Fixture.cpp,b2Fixture::Refilter(),34,27,17,5,5,0,2,15,
D:\engine\proteus\source\Box2D\Dynamics\b2Fixture.cpp,b2Fixture::SetSensor(bool sensor),6,6,4,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Fixture.cpp,b2Fixture::Dump(int32 bodyIndex),73,67,52,7,6,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Island.cpp,"b2Island::b2Island( int32 bodyCapacity, int32 contactCapacity, int32 jointCapacity, b2StackAllocator* allocator, b2ContactListener* listener)",17,14,14,0,3,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Island.cpp,b2Island::~b2Island(),7,6,6,0,0,0,1,8,
D:\engine\proteus\source\Box2D\Dynamics\b2Island.cpp,"b2Island::Solve(b2Profile* profile, const b2TimeStep& step, const b2Vec2& gravity, bool allowSleep)",198,145,103,20,33,0,20,121,
D:\engine\proteus\source\Box2D\Dynamics\b2Island.cpp,"b2Island::SolveTOI(const b2TimeStep& subStep, int32 toiIndexA, int32 toiIndexB)",129,95,75,10,21,0,13,65,
D:\engine\proteus\source\Box2D\Dynamics\b2Island.cpp,b2Island::Report(const b2ContactVelocityConstraint* constraints),22,18,12,3,4,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2World.cpp,b2World::b2World(const b2Vec2& gravity),26,17,17,0,9,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2World.cpp,b2World::~b2World(),18,15,11,2,2,0,1,5,
D:\engine\proteus\source\Box2D\Dynamics\b2World.cpp,b2World::SetDestructionListener(b2DestructionListener* listener),2,2,2,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2World.cpp,b2World::SetContactFilter(b2ContactFilter* filter),2,2,2,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2World.cpp,b2World::SetContactListener(b2ContactListener* listener),2,2,2,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2World.cpp,b2World::SetDebugDraw(b2Draw* debugDraw),2,2,2,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2World.cpp,b2World::CreateBody(const b2BodyDef* def),21,17,13,4,3,0,1,6,
D:\engine\proteus\source\Box2D\Dynamics\b2World.cpp,b2World::DestroyBody(b2Body* b),78,61,43,9,13,0,4,20,
D:\engine\proteus\source\Box2D\Dynamics\b2World.cpp,b2World::CreateJoint(const b2JointDef* def),57,42,32,9,9,0,6,46,
D:\engine\proteus\source\Box2D\Dynamics\b2World.cpp,b2World::DestroyJoint(b2Joint* j),92,66,40,13,18,0,8,48,
D:\engine\proteus\source\Box2D\Dynamics\b2World.cpp,b2World::SetAllowSleeping(bool flag),14,13,7,3,1,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2World.cpp,b2World::Solve(const b2TimeStep& step),187,134,82,23,30,0,23,159,
D:\engine\proteus\source\Box2D\Dynamics\b2World.cpp,b2World::SolveTOI(const b2TimeStep& step),317,229,157,37,53,0,35,222,
D:\engine\proteus\source\Box2D\Dynamics\b2World.cpp,"b2World::Step(float32 dt, int32 velocityIterations, int32 positionIterations)",65,49,34,6,12,0,4,32,
D:\engine\proteus\source\Box2D\Dynamics\b2World.cpp,b2World::ClearForces(),6,6,4,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2World.cpp,"b2World::QueryAABB(b2QueryCallback* callback, const b2AABB& aabb) const",5,5,5,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2World.cpp,"b2World::RayCast(b2RayCastCallback* callback, const b2Vec2& point1, const b2Vec2& point2) const",9,9,9,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2World.cpp,"b2World::DrawShape(b2Fixture* fixture, const b2Transform& xf, const b2Color& color)",60,51,36,8,9,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2World.cpp,b2World::DrawJoint(b2Joint* joint),38,32,25,4,5,0,1,3,
D:\engine\proteus\source\Box2D\Dynamics\b2World.cpp,b2World::DrawDebugData(),101,85,45,16,11,0,5,19,
D:\engine\proteus\source\Box2D\Dynamics\b2World.cpp,b2World::GetProxyCount() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2World.cpp,b2World::GetTreeHeight() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2World.cpp,b2World::GetTreeBalance() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2World.cpp,b2World::GetTreeQuality() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2World.cpp,b2World::ShiftOrigin(const b2Vec2& newOrigin),20,17,11,3,3,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2World.cpp,b2World::Dump(),56,46,32,7,8,0,2,14,
D:\engine\proteus\source\Box2D\Dynamics\b2WorldCallbacks.cpp,"b2ContactFilter::ShouldCollide(b2Fixture* fixtureA, b2Fixture* fixtureB)",11,9,7,3,2,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::GetType() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::GetTransform() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::GetPosition() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::GetAngle() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::GetWorldCenter() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::GetLocalCenter() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::SetLinearVelocity(const b2Vec2& v),12,10,6,2,2,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::GetLinearVelocity() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::SetAngularVelocity(float32 w),12,10,6,2,2,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::GetAngularVelocity() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::GetMass() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::GetInertia() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::GetMassData(b2MassData* data) const,4,4,4,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::GetWorldPoint(const b2Vec2& localPoint) const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::GetWorldVector(const b2Vec2& localVector) const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::GetLocalPoint(const b2Vec2& worldPoint) const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::GetLocalVector(const b2Vec2& worldVector) const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::GetLinearVelocityFromWorldPoint(const b2Vec2& worldPoint) const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::GetLinearVelocityFromLocalPoint(const b2Vec2& localPoint) const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::GetLinearDamping() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::SetLinearDamping(float32 linearDamping),2,2,2,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::GetAngularDamping() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::SetAngularDamping(float32 angularDamping),2,2,2,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::GetGravityScale() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::SetGravityScale(float32 scale),2,2,2,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::SetBullet(bool flag),9,9,5,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::IsBullet() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::SetAwake(bool flag),18,18,12,2,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::IsAwake() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::IsActive() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::IsFixedRotation() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::SetSleepingAllowed(bool flag),10,10,6,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::IsSleepingAllowed() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::GetFixtureList(),2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::GetFixtureList() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::GetJointList(),2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::GetJointList() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::GetContactList(),2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::GetContactList() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::GetNext(),2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::GetNext() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::SetUserData(void* data),2,2,2,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::GetUserData() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,"b2Body::ApplyForce(const b2Vec2& force, const b2Vec2& point, bool wake)",17,14,8,3,2,0,1,9,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,"b2Body::ApplyForceToCenter(const b2Vec2& force, bool wake)",16,13,7,3,2,0,1,9,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,"b2Body::ApplyTorque(float32 torque, bool wake)",16,13,7,3,2,0,1,9,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,"b2Body::ApplyLinearImpulse(const b2Vec2& impulse, const b2Vec2& point, bool wake)",17,14,8,3,2,0,1,8,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,"b2Body::ApplyAngularImpulse(float32 impulse, bool wake)",16,13,7,3,2,0,1,8,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::SynchronizeTransform(),3,3,3,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::Advance(float32 alpha),7,6,6,0,0,0,1,11,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::GetWorld(),2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Body.h,b2Body::GetWorld() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Fixture.h,b2Fixture::GetType() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Fixture.h,b2Fixture::GetShape(),2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Fixture.h,b2Fixture::GetShape() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Fixture.h,b2Fixture::IsSensor() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Fixture.h,b2Fixture::GetFilterData() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Fixture.h,b2Fixture::GetUserData() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Fixture.h,b2Fixture::SetUserData(void* data),2,2,2,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Fixture.h,b2Fixture::GetBody(),2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Fixture.h,b2Fixture::GetBody() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Fixture.h,b2Fixture::GetNext(),2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Fixture.h,b2Fixture::GetNext() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Fixture.h,b2Fixture::SetDensity(float32 density),3,3,3,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Fixture.h,b2Fixture::GetDensity() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Fixture.h,b2Fixture::GetFriction() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Fixture.h,b2Fixture::SetFriction(float32 friction),2,2,2,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Fixture.h,b2Fixture::GetRestitution() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Fixture.h,b2Fixture::SetRestitution(float32 restitution),2,2,2,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Fixture.h,b2Fixture::TestPoint(const b2Vec2& p) const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Fixture.h,"b2Fixture::RayCast(b2RayCastOutput* output, const b2RayCastInput& input, int32 childIndex) const",2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Fixture.h,b2Fixture::GetMassData(b2MassData* massData) const,2,2,2,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2Fixture.h,b2Fixture::GetAABB(int32 childIndex) const,3,3,3,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2World.h,b2World::GetBodyList(),2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2World.h,b2World::GetBodyList() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2World.h,b2World::GetJointList(),2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2World.h,b2World::GetJointList() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2World.h,b2World::GetContactList(),2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2World.h,b2World::GetContactList() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2World.h,b2World::GetBodyCount() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2World.h,b2World::GetJointCount() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2World.h,b2World::GetContactCount() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2World.h,b2World::SetGravity(const b2Vec2& gravity),2,2,2,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2World.h,b2World::GetGravity() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2World.h,b2World::IsLocked() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2World.h,b2World::SetAutoClearForces(bool flag),9,9,5,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2World.h,b2World::GetAutoClearForces() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2World.h,b2World::GetContactManager() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\b2World.h,b2World::GetProfile() const,2,2,2,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2ChainAndCircleContact.cpp,"b2ChainAndCircleContact::Create(b2Fixture* fixtureA, int32 indexA, b2Fixture* fixtureB, int32 indexB, b2BlockAllocator* allocator)",3,3,3,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2ChainAndCircleContact.cpp,"b2ChainAndCircleContact::Destroy(b2Contact* contact, b2BlockAllocator* allocator)",3,3,3,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2ChainAndCircleContact.cpp,"b2ChainAndCircleContact::b2ChainAndCircleContact(b2Fixture* fixtureA, int32 indexA, b2Fixture* fixtureB, int32 indexB)",3,3,3,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2ChainAndCircleContact.cpp,"b2ChainAndCircleContact::Evaluate(b2Manifold* manifold, const b2Transform& xfA, const b2Transform& xfB)",6,6,5,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2ChainAndPolygonContact.cpp,"b2ChainAndPolygonContact::Create(b2Fixture* fixtureA, int32 indexA, b2Fixture* fixtureB, int32 indexB, b2BlockAllocator* allocator)",3,3,3,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2ChainAndPolygonContact.cpp,"b2ChainAndPolygonContact::Destroy(b2Contact* contact, b2BlockAllocator* allocator)",3,3,3,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2ChainAndPolygonContact.cpp,"b2ChainAndPolygonContact::b2ChainAndPolygonContact(b2Fixture* fixtureA, int32 indexA, b2Fixture* fixtureB, int32 indexB)",3,3,3,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2ChainAndPolygonContact.cpp,"b2ChainAndPolygonContact::Evaluate(b2Manifold* manifold, const b2Transform& xfA, const b2Transform& xfB)",6,6,5,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2CircleContact.cpp,"b2CircleContact::Create(b2Fixture* fixtureA, int32, b2Fixture* fixtureB, int32, b2BlockAllocator* allocator)",3,3,3,1,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2CircleContact.cpp,"b2CircleContact::Destroy(b2Contact* contact, b2BlockAllocator* allocator)",3,3,3,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2CircleContact.cpp,"b2CircleContact::b2CircleContact(b2Fixture* fixtureA, b2Fixture* fixtureB)",3,3,3,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2CircleContact.cpp,"b2CircleContact::Evaluate(b2Manifold* manifold, const b2Transform& xfA, const b2Transform& xfB)",4,4,2,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2Contact.cpp,b2Contact::InitializeRegisters(),8,8,8,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2Contact.cpp,"b2Contact::AddType(b2ContactCreateFcn* createFcn, b2ContactDestroyFcn* destoryFcn, b2Shape::Type type1, b2Shape::Type type2)",14,12,10,1,2,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2Contact.cpp,"b2Contact::Create(b2Fixture* fixtureA, int32 indexA, b2Fixture* fixtureB, int32 indexB, b2BlockAllocator* allocator)",29,26,16,6,3,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2Contact.cpp,"b2Contact::Destroy(b2Contact* contact, b2BlockAllocator* allocator)",22,17,13,1,5,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2Contact.cpp,"b2Contact::b2Contact(b2Fixture* fA, int32 indexA, b2Fixture* fB, int32 indexB)",30,21,21,0,9,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2Contact.cpp,b2Contact::Update(b2ContactListener* listener),85,66,44,10,14,0,5,30,
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2ContactSolver.cpp,b2ContactSolver::b2ContactSolver(b2ContactSolverDef* def),84,74,66,3,9,0,1,7,
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2ContactSolver.cpp,b2ContactSolver::~b2ContactSolver(),3,3,3,0,0,0,0,0,
D:\engine\proteus\source\Box2D\Dynamics\Contacts\b2ContactSolver.cpp,b2ContactSolver::InitializeVelocityConstraints(),108,79,67,5,23,0,6,36,
